 expiry_date | strike_price | option_type | num_trading_days | total_volume | total_oi | avg_premium | volume_to_oi_ratio 
-------------+--------------+-------------+------------------+--------------+----------+-------------+--------------------
 2019-08-14  |     31900.00 | CE          |                9 |        41244 |      520 |      728.66 |            7931.54
 2019-08-14  |     32100.00 | CE          |                9 |        19620 |     1260 |      572.77 |            1557.14
 2019-08-14  |     32200.00 | CE          |                9 |         5456 |     2760 |      548.20 |             197.68
 2019-08-14  |     32400.00 | CE          |                9 |        10008 |      120 |      501.10 |            8340.00
 2019-08-14  |     32700.00 | CE          |                9 |         6015 |        0 |      355.84 |                   
 2019-08-14  |     32900.00 | CE          |                9 |         9417 |      820 |      268.75 |            1148.41
 2019-08-14  |     33000.00 | CE          |                9 |        38042 |      620 |      192.39 |            6135.81
 2019-08-14  |     33100.00 | CE          |                9 |        29711 |      140 |      156.82 |           21222.14
 2019-08-22  |     26000.00 | PE          |               11 |        89877 |   872540 |       17.40 |              10.30
 2019-08-22  |     26100.00 | PE          |               11 |         7566 |    18720 |       22.20 |              40.42
 2019-08-22  |     26200.00 | PE          |               11 |         9314 |    25540 |       26.64 |              36.47
 2019-08-22  |     26300.00 | PE          |               11 |        17888 |    73220 |       31.85 |              24.43
 2019-08-22  |     26400.00 | PE          |               11 |        22991 |    50700 |       35.10 |              45.35
 2019-08-22  |     26500.00 | PE          |               11 |       171674 |   690100 |       41.13 |              24.88
 2019-08-22  |     26600.00 | PE          |               12 |       103305 |   204260 |       30.30 |              50.58
 2019-08-22  |     26700.00 | PE          |               12 |       164657 |   193200 |       36.14 |              85.23
 2019-08-22  |     26800.00 | CE          |               13 |         2419 |      180 |     1374.38 |            1343.89
 2019-08-22  |     26800.00 | PE          |               13 |       314176 |   526880 |       38.55 |              59.63
 2019-08-22  |     26900.00 | CE          |               13 |        15561 |     6520 |     1516.69 |             238.67
 2019-08-22  |     26900.00 | PE          |               13 |       676066 |   598860 |       46.32 |             112.89
 2019-08-22  |     27000.00 | CE          |               13 |       280671 |    46860 |     1226.83 |             598.96
 2019-08-22  |     27000.00 | PE          |               13 |      2650409 |  2664440 |       51.90 |              99.47
 2019-08-22  |     27100.00 | CE          |               13 |       437942 |   585300 |     1170.53 |              74.82
 2019-08-22  |     27100.00 | PE          |               13 |      1830782 |   481620 |       68.88 |             380.13
 2019-08-22  |     27200.00 | CE          |               14 |       620609 |   504120 |     1299.04 |             123.11
 2019-08-22  |     27200.00 | PE          |               14 |      2319840 |   788520 |       64.17 |             294.20
 2019-08-22  |     27300.00 | CE          |               14 |       744926 |   633060 |     1224.43 |             117.67
 2019-08-22  |     27300.00 | PE          |               14 |      2365036 |  1080040 |       80.89 |             218.98
 2019-08-22  |     27400.00 | CE          |               14 |      1014363 |   578480 |     1172.90 |             175.35
 2019-08-22  |     27400.00 | PE          |               14 |      2402890 |   851440 |      115.01 |             282.21
 2019-08-22  |     27500.00 | CE          |               14 |      1612637 |   806060 |     1019.14 |             200.06
 2019-08-22  |     27500.00 | PE          |               14 |      3560476 |  2473040 |      141.38 |             143.97
 2019-08-22  |     27600.00 | CE          |               14 |      1575967 |   676580 |      859.95 |             232.93
